sql,programming,385412
python,programming,381508
aws,cloud,145631
azure,cloud,132773
r,programming,131079
tableau,analyst_tools,127375
excel,analyst_tools,127157
spark,libraries,114857
power bi,analyst_tools,98279
java,programming,85771
